F:\Unet_test\Analysis-of-BPH\segmentation\train_bg.py:86: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:837.)
  tot += float(loss)
epoch 1/60: loss 1.7276 | val 3D dice 0.6932
epoch 2/60: loss 1.3424 | val 3D dice 0.6910
epoch 3/60: loss 1.1687 | val 3D dice 0.7765
epoch 4/60: loss 1.0183 | val 3D dice 0.8534
epoch 5/60: loss 0.8726 | val 3D dice 0.8773
epoch 6/60: loss 0.7698 | val 3D dice 0.8503
epoch 7/60: loss 0.6771 | val 3D dice 0.8799
epoch 8/60: loss 0.5841 | val 3D dice 0.8076
epoch 9/60: loss 0.5335 | val 3D dice 0.7740
epoch 10/60: loss 0.4806 | val 3D dice 0.8891
epoch 11/60: loss 0.4177 | val 3D dice 0.8614
epoch 12/60: loss 0.3885 | val 3D dice 0.8817
epoch 13/60: loss 0.3578 | val 3D dice 0.8895
epoch 14/60: loss 0.3284 | val 3D dice 0.8776
epoch 15/60: loss 0.3031 | val 3D dice 0.9076
epoch 16/60: loss 0.2872 | val 3D dice 0.8777
epoch 17/60: loss 0.2715 | val 3D dice 0.8543
epoch 18/60: loss 0.2519 | val 3D dice 0.8531
epoch 19/60: loss 0.2368 | val 3D dice 0.8923
epoch 20/60: loss 0.2366 | val 3D dice 0.9152
epoch 21/60: loss 0.2180 | val 3D dice 0.8597
epoch 22/60: loss 0.2059 | val 3D dice 0.8839
epoch 23/60: loss 0.2046 | val 3D dice 0.8205
epoch 24/60: loss 0.2059 | val 3D dice 0.8955
epoch 25/60: loss 0.1899 | val 3D dice 0.8627
epoch 26/60: loss 0.1884 | val 3D dice 0.8911
epoch 27/60: loss 0.1755 | val 3D dice 0.9029
epoch 28/60: loss 0.1841 | val 3D dice 0.8893
epoch 29/60: loss 0.1904 | val 3D dice 0.8906
epoch 30/60: loss 0.1556 | val 3D dice 0.9008
epoch 31/60: loss 0.1645 | val 3D dice 0.8994
epoch 32/60: loss 0.1513 | val 3D dice 0.8784
epoch 33/60: loss 0.1530 | val 3D dice 0.8591
epoch 34/60: loss 0.1483 | val 3D dice 0.9025
epoch 35/60: loss 0.1431 | val 3D dice 0.8941
epoch 36/60: loss 0.1379 | val 3D dice 0.8943
epoch 37/60: loss 0.1408 | val 3D dice 0.8805
epoch 38/60: loss 0.1285 | val 3D dice 0.8684
epoch 39/60: loss 0.1372 | val 3D dice 0.8986
epoch 40/60: loss 0.1233 | val 3D dice 0.8854
epoch 41/60: loss 0.1264 | val 3D dice 0.8899
epoch 42/60: loss 0.1315 | val 3D dice 0.8981
epoch 43/60: loss 0.1163 | val 3D dice 0.8489
epoch 44/60: loss 0.1201 | val 3D dice 0.8797
epoch 45/60: loss 0.1165 | val 3D dice 0.8751
epoch 46/60: loss 0.1105 | val 3D dice 0.8928
epoch 47/60: loss 0.1256 | val 3D dice 0.9008
epoch 48/60: loss 0.1028 | val 3D dice 0.8993
epoch 49/60: loss 0.1035 | val 3D dice 0.8937
epoch 50/60: loss 0.1032 | val 3D dice 0.8767
epoch 51/60: loss 0.1200 | val 3D dice 0.8886
epoch 52/60: loss 0.0940 | val 3D dice 0.8945
epoch 53/60: loss 0.0959 | val 3D dice 0.8877
epoch 54/60: loss 0.0916 | val 3D dice 0.8966
epoch 55/60: loss 0.1153 | val 3D dice 0.9076
epoch 56/60: loss 0.0881 | val 3D dice 0.9011
epoch 57/60: loss 0.0885 | val 3D dice 0.8822
epoch 58/60: loss 0.0849 | val 3D dice 0.8919
epoch 59/60: loss 0.0912 | val 3D dice 0.8918
epoch 60/60: loss 0.0814 | val 3D dice 0.8978
best val 3D dice: 0.9151542077098233 (fg-only baseline: 0.8725)
